timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1554504726052,8,Home Page,200,OK,Scenario 1 1-49,text,true,,5627,534,54,54,http://192.168.1.114:9095/test,8,0,4
1554504726054,8,Home Page,200,OK,Scenario 1 1-50,text,true,,5627,534,55,55,http://192.168.1.114:9095/test,8,0,2
1554504726055,9,Home Page,200,OK,Scenario 1 1-51,text,true,,5627,534,56,56,http://192.168.1.114:9095/test,8,0,4
1554504726057,7,Home Page,200,OK,Scenario 1 1-52,text,true,,5627,534,56,56,http://192.168.1.114:9095/test,7,0,3
1554504726060,7,Home Page,200,OK,Scenario 1 1-54,text,true,,5627,534,59,59,http://192.168.1.114:9095/test,7,0,3
1554504726058,10,Home Page,200,OK,Scenario 1 1-53,text,true,,5627,534,59,59,http://192.168.1.114:9095/test,9,0,5
1554504726061,7,Home Page,200,OK,Scenario 1 1-55,text,true,,5627,534,59,59,http://192.168.1.114:9095/test,7,0,3
1554504726063,7,Home Page,200,OK,Scenario 1 1-56,text,true,,5627,534,60,60,http://192.168.1.114:9095/test,7,0,2
1554504726064,7,Home Page,200,OK,Scenario 1 1-57,text,true,,5627,534,62,62,http://192.168.1.114:9095/test,7,0,3
1554504726066,7,Home Page,200,OK,Scenario 1 1-58,text,true,,5627,534,63,63,http://192.168.1.114:9095/test,7,0,3
1554504726067,7,Home Page,200,OK,Scenario 1 1-59,text,true,,5627,534,63,63,http://192.168.1.114:9095/test,7,0,3
1554504726070,8,Home Page,200,OK,Scenario 1 1-61,text,true,,5627,534,66,66,http://192.168.1.114:9095/test,7,0,3
1554504726069,10,Home Page,200,OK,Scenario 1 1-60,text,true,,5627,534,67,67,http://192.168.1.114:9095/test,8,0,4
1554504726071,9,Home Page,200,OK,Scenario 1 1-62,text,true,,5627,534,68,68,http://192.168.1.114:9095/test,8,0,3
1554504726073,8,Home Page,200,OK,Scenario 1 1-63,text,true,,5627,534,68,68,http://192.168.1.114:9095/test,7,0,4
1554504726074,9,Home Page,200,OK,Scenario 1 1-64,text,true,,5627,534,70,70,http://192.168.1.114:9095/test,9,0,3
1554504726076,8,Home Page,200,OK,Scenario 1 1-65,text,true,,5627,534,70,70,http://192.168.1.114:9095/test,7,0,3
1554504726077,7,Home Page,200,OK,Scenario 1 1-66,text,true,,5627,534,70,70,http://192.168.1.114:9095/test,7,0,3
1554504726078,7,Home Page,200,OK,Scenario 1 1-67,text,true,,5627,534,71,71,http://192.168.1.114:9095/test,6,0,3
1554504726080,7,Home Page,200,OK,Scenario 1 1-68,text,true,,5627,534,73,73,http://192.168.1.114:9095/test,7,0,3
1554504726081,8,Home Page,200,OK,Scenario 1 1-69,text,true,,5627,534,74,74,http://192.168.1.114:9095/test,8,0,3
1554504726083,8,Home Page,200,OK,Scenario 1 1-70,text,true,,5627,534,76,76,http://192.168.1.114:9095/test,7,0,3
